Year,Corruption,GDP per Capita,SocialSupport,LifeExpectancy,Freedom,Generosity,HappinessScore
2015,0.41978,1.39651,1.34951,0.94143,0.66557,0.29678,7.587
2015,0.14145,1.30232,1.40223,0.94784,0.62877,0.4363,7.561
2015,0.48357,1.32548,1.36058,0.87464,0.64938,0.34139,7.527
2015,0.36503,1.459,1.33095,0.88521,0.66973,0.34699,7.522
2015,0.32957,1.32629,1.32261,0.90563,0.63297,0.45811,7.427
2015,0.41372,1.29025,1.31826,0.88911,0.64169,0.23351,7.406
2015,0.31814,1.32944,1.28017,0.89284,0.61576,0.4761,7.378
2015,0.43844,1.33171,1.28907,0.91087,0.6598,0.36262,7.364
2015,0.42922,1.25018,1.31967,0.90837,0.63938,0.47501,7.286
2015,0.35637,1.33358,1.30923,0.93156,0.65124,0.43562,7.284
2015,0.07785,1.22857,1.22393,0.91387,0.41319,0.33172,7.278
2015,0.10583,0.95578,1.23788,0.86027,0.63376,0.25497,7.226
2015,0.18676,1.33723,1.29704,0.89042,0.62433,0.33088,7.2
2015,0.21312,1.02054,0.91451,0.81444,0.48181,0.14074,7.187
2015,0.1589,1.39451,1.24711,0.86179,0.54604,0.40105,7.119
2015,0.17521,0.98124,1.23287,0.69702,0.49049,0.14574,6.983
2015,0.37798,1.56391,1.21963,0.91894,0.61583,0.28034,6.946
2015,0.28703,1.33596,1.36948,0.89533,0.61777,0.45901,6.94
2015,0.2254,1.30782,1.28566,0.89667,0.5845,0.2225,6.937
2015,0.38583,1.42727,1.12575,0.80925,0.64157,0.26428,6.901
2015,0.32067,1.26637,1.28548,0.90943,0.59625,0.51912,6.867
2015,0.32524,1.36011,1.08182,0.76276,0.63274,0.21542,6.853
2015,0.11069,1.04424,1.25596,0.72052,0.42908,0.05841,6.81
2015,0.4921,1.52186,1.02,1.02525,0.54252,0.31105,6.798
2015,0.0927,1.06353,1.1985,0.79661,0.5421,0.24434,6.786
2015,0.21843,1.32792,1.29937,0.89186,0.61477,0.28214,6.75
2015,0.12869,1.10715,1.12447,0.85857,0.44132,0.33363,6.67
2015,0.52208,1.69042,1.0786,0.79733,0.6404,0.32573,6.611
2015,0.20646,1.27778,1.26038,0.94579,0.55011,0.12332,6.575
2015,0.08484,1.05351,1.24823,0.78723,0.44974,0.11451,6.574
2015,0.02652,1.17898,1.20643,0.84483,0.46364,0.10686,6.505
2015,0.24558,1.06166,1.2089,0.8116,0.60362,0.2324,6.485
2015,0.0512,0.91861,1.24018,0.69077,0.53466,0.18401,6.477
2015,0.03187,0.9669,1.26504,0.7385,0.55664,0.5763,6.455
2015,0.32524,1.39541,1.08393,0.72025,0.31048,0.13706,6.411
2015,0.06398,1.23011,1.31379,0.95562,0.45951,0.18227,6.329
2015,0.13586,1.2074,1.30203,0.88721,0.60365,0.51752,6.302
2015,0.08129,1.29098,1.07617,0.8753,0.3974,0.25376,6.298
2015,0.25609,1.55422,1.16594,0.72492,0.55499,0.16228,6.295
2015,0.13633,0.99534,0.972,0.6082,0.59657,0.16991,6.269
2015,0.0114,1.21183,1.18354,0.61483,0.55884,0.31844,6.168
2015,0.11776,0.76454,1.02507,0.67737,0.4035,0.10692,6.13
2015,0.09472,0.74553,1.04356,0.64425,0.57733,0.27489,6.123
2015,0.30826,0.63244,1.34043,0.59772,0.65821,0.22837,6.003
2015,0.03431,1.16891,1.26999,0.78902,0.31751,0.16893,5.995
2015,0.1806,1.27074,1.25712,0.99111,0.49615,0.10705,5.987
2015,0.07857,1.24461,0.95774,0.96538,0.33208,0.18557,5.984
2015,0.1809,0.86402,0.99903,0.79075,0.48574,0.11541,5.975
2015,0.306,1.32376,1.21624,0.74716,0.45492,0.17362,5.96
2015,0.02901,1.25114,1.19777,0.95446,0.26236,0.22823,5.948
2015,0.088,0.68133,0.97841,0.5392,0.57414,0.20536,5.89
2015,0.01615,0.59448,1.01528,0.61826,0.32818,0.20951,5.889
2015,0.08242,0.75985,1.30477,0.66098,0.53899,0.3424,5.878
2015,0.08454,1.12254,1.12241,0.64368,0.51649,0.11827,5.855
2015,0.03787,1.18498,1.27385,0.87337,0.60855,0.25328,5.848
2015,0.01031,1.14723,1.25745,0.73128,0.21342,0.02641,5.833
2015,0.19317,0.59325,1.14184,0.74314,0.55475,0.27815,5.828
2015,0.05989,0.90019,0.97459,0.73017,0.41496,0.14982,5.824
2015,0.1909,1.03192,1.23289,0.73608,0.37938,0.11046,5.813
2015,0.04212,1.12555,1.27948,0.77903,0.53122,0.16759,5.791
2015,0.10501,1.12486,1.07023,0.72394,0.53024,0.33075,5.77
2015,0.0243,1.08254,0.79624,0.78805,0.25883,0.05444,5.759
2015,0.11023,1.13145,1.11862,0.7038,0.41668,0.18295,5.754
2015,0.03005,1.13764,1.23617,0.66926,0.36679,0.00199,5.716
2015,0.02299,0.81038,1.15102,0.68741,0.50442,0.2123,5.709
2015,0.1428,1.20806,1.07008,0.92356,0.49027,0.26169,5.695
2015,0.06146,1.20813,0.89318,0.92356,0.40672,0.30638,5.689
2015,0.17383,0.93929,1.07772,0.61766,0.28579,0.07822,5.605
2015,0.04741,0.80148,0.81198,0.63132,0.24749,0.2831,5.589
2015,0.30844,0.95847,1.22668,0.53886,0.4761,0.16979,5.548
2015,0.07521,1.00761,0.98521,0.7095,0.56066,0.37744,5.477
2015,0.37124,1.38604,1.05818,1.01328,0.59608,0.39478,5.474
2015,0.15184,1.15174,1.22791,0.77361,0.44888,0.0868,5.429
2015,0.0,0.82827,1.08708,0.63793,0.46611,0.51535,5.399
2015,0.10441,0.63216,0.91226,0.74676,0.59444,0.1686,5.36
2015,0.15746,1.06098,0.94632,0.73172,0.22815,0.12253,5.332
2015,0.04232,0.47428,1.15115,0.65088,0.43477,0.3003,5.286
2015,0.0403,0.65435,0.90432,0.16007,0.34334,0.27233,5.268
2015,0.15445,0.77042,1.10395,0.57407,0.53206,0.47998,5.253
2015,0.16065,1.02389,0.93793,0.64045,0.3703,0.07799,5.212
2015,0.10464,0.59543,0.41411,0.51466,0.12102,0.33671,5.194
2015,0.14293,0.90198,1.05392,0.69639,0.40661,0.11053,5.192
2015,0.14296,0.97438,0.90557,0.72521,0.1826,0.1614,5.192
2015,0.02781,0.89012,0.94675,0.81658,0.51697,0.08185,5.14
2015,0.12468,0.47038,0.91612,0.29924,0.48827,0.19591,5.129
2015,0.00649,1.04345,0.88588,0.7689,0.35068,0.13748,5.124
2015,0.02617,0.92053,1.00964,0.74836,0.20107,0.19231,5.123
2015,0.01078,1.15991,1.13935,0.87519,0.51469,0.13719,5.102
2015,0.06332,1.11312,1.09562,0.72437,0.29671,0.18226,5.098
2015,0.12279,0.70532,1.03516,0.58114,0.62545,0.24991,5.073
2015,0.39928,0.18847,0.95152,0.43873,0.46582,0.50318,5.057
2015,0.08546,0.73479,0.64095,0.60954,0.41691,0.07172,5.013
2015,0.05327,0.91851,1.00232,0.73545,0.33457,0.22359,5.007
2015,0.15603,0.08308,1.02626,0.09131,0.34037,0.22269,4.971
2015,0.06413,0.87867,0.80434,0.81325,0.35733,0.14272,4.959
2015,0.00227,0.83223,0.91916,0.79081,0.09245,0.24808,4.949
2015,0.12504,0.37545,1.04103,0.07612,0.31767,0.16388,4.898
2015,0.14234,0.89537,1.17202,0.66825,0.57672,0.21684,4.885
2015,0.24249,0.59066,0.73803,0.54909,0.59591,0.42192,4.876
2015,0.02666,0.82819,1.3006,0.60268,0.43626,0.3323,4.874
2015,0.0306,0.71206,1.07284,0.07566,0.30658,0.18259,4.867
2015,0.01397,1.15406,0.92933,0.88213,0.07699,0.0,4.857
2015,0.04582,1.02564,0.80001,0.83947,0.33916,0.21854,4.839
2015,0.02758,1.12094,1.20215,0.75905,0.32112,0.128,4.8
2015,0.06825,0.59532,0.95348,0.6951,0.40148,0.23027,4.788
2015,0.15072,0.39047,0.85563,0.57379,0.47216,0.22974,4.786
2015,0.06358,0.88113,0.60429,0.73793,0.26268,0.06431,4.739
2015,0.12905,0.59867,0.92558,0.66015,0.24499,0.11251,4.715
2015,0.12569,0.39753,0.43106,0.60164,0.4082,0.21222,4.694
2015,0.05863,1.0088,0.54447,0.69805,0.30033,0.38086,4.686
2015,0.02961,0.79907,1.20278,0.6739,0.25123,0.15275,4.681
2015,0.13788,0.98549,0.81889,0.60237,0.0,0.17922,4.677
2015,0.08884,0.92049,1.18468,0.27688,0.33207,0.11973,4.642
2015,0.04355,0.54558,0.67954,0.40132,0.42342,0.23087,4.633
2015,0.08079,0.271,1.03276,0.33475,0.25861,0.18987,4.61
2015,0.06232,0.0712,0.78968,0.34201,0.28531,0.24362,4.571
2015,0.08492,0.64499,0.38174,0.51529,0.39786,0.26475,4.565
2015,0.1466,0.52107,1.01404,0.36878,0.10081,0.19062,4.55
2015,0.17175,0.26673,0.74302,0.38847,0.24425,0.46187,4.518
2015,0.07625,0.0,1.0012,0.09806,0.22605,0.24834,4.517
2015,0.05907,0.35997,0.86449,0.56874,0.38282,0.32296,4.514
2015,0.15048,0.19073,0.60406,0.44055,0.4345,0.24325,4.512
2015,0.08786,0.33024,0.95571,0.0,0.4084,0.21488,4.507
2015,0.17461,0.45407,0.86908,0.35874,0.24232,0.219,4.436
2015,0.05839,0.36471,0.99876,0.41435,0.42215,0.37542,4.419
2015,0.28105,0.44025,0.59207,0.36291,0.46074,0.18093,4.369
2015,0.039,0.76821,0.77711,0.7299,0.19847,0.07855,4.35
2015,0.12474,0.99355,1.10464,0.04776,0.49495,0.10461,4.332
2015,0.19034,0.27108,0.70905,0.48246,0.44017,0.79588,4.307
2015,0.38331,0.7419,0.38562,0.72926,0.40577,0.05547,4.297
2015,0.06977,0.01604,0.41134,0.22562,0.43054,0.33128,4.292
2015,0.09179,0.83524,1.01905,0.70806,0.53726,0.40828,4.271
2015,0.05786,0.4225,0.88767,0.23402,0.49309,0.20618,4.252
2015,0.00872,1.01216,1.10614,0.76649,0.30587,0.11921,4.218
2015,0.06324,0.8818,0.747,0.61712,0.17288,0.11291,4.194
2015,0.07854,0.54649,0.68093,0.40064,0.35571,0.09131,4.077
2015,0.07122,0.75778,0.8604,0.16683,0.10384,0.12344,4.033
2015,0.12352,0.26074,1.03526,0.20583,0.38857,0.18798,3.995
2015,0.11686,0.67866,0.6629,0.31051,0.41466,0.12388,3.989
2015,0.199,0.23906,0.79273,0.36315,0.22917,0.17441,3.956
2015,0.07267,0.21102,1.13299,0.33861,0.45727,0.29066,3.931
2015,0.10713,0.36498,0.97619,0.4354,0.36772,0.20843,3.904
2015,0.11091,1.06024,0.90528,0.43372,0.31914,0.06822,3.896
2015,0.15639,0.0694,0.77265,0.29707,0.47692,0.19387,3.845
2015,0.07247,0.46038,0.62736,0.61114,0.66246,0.40359,3.819
2015,0.05747,0.2852,1.00268,0.38215,0.32878,0.34377,3.781
2015,0.08124,0.20824,0.66801,0.46721,0.19184,0.21333,3.681
2015,0.08289,0.0785,0.0,0.06699,0.48879,0.23835,3.678
2015,0.05269,0.34193,0.76062,0.1501,0.23501,0.18386,3.667
2015,0.12139,0.17417,0.46475,0.24009,0.37725,0.28657,3.656
2015,0.17922,0.46534,0.77115,0.15185,0.46866,0.20165,3.655
2015,0.12832,0.25812,0.85188,0.27125,0.39493,0.21747,3.587
2015,0.09719,0.31982,0.30285,0.30335,0.23414,0.3651,3.575
2015,0.55191,0.22208,0.7737,0.42864,0.59201,0.22628,3.465
2015,0.0801,0.28665,0.35386,0.3191,0.4845,0.1826,3.34
2015,0.18906,0.6632,0.47489,0.72193,0.15684,0.47179,3.006
2015,0.10062,0.0153,0.41587,0.22396,0.1185,0.19727,2.905
2015,0.10731,0.20868,0.13995,0.28443,0.36453,0.16681,2.839
2016,0.44453,1.44178,1.16374,0.79504,0.57941,0.36171,7.526
2016,0.41203,1.52733,1.14524,0.86303,0.58557,0.28083,7.509
2016,0.14975,1.42666,1.18326,0.86733,0.56624,0.47678,7.501
2016,0.35776,1.57744,1.1269,0.79579,0.59609,0.37895,7.498
2016,0.41004,1.40598,1.13464,0.81091,0.57104,0.25492,7.413
2016,0.31329,1.44015,1.0961,0.8276,0.5737,0.44834,7.404
2016,0.29927,1.46468,1.02912,0.81231,0.55211,0.47416,7.339
2016,0.41904,1.36066,1.17278,0.83096,0.58147,0.49401,7.334
2016,0.32331,1.44443,1.10476,0.8512,0.56837,0.47407,7.313
2016,0.40867,1.45181,1.08764,0.83121,0.58218,0.38254,7.291
2016,0.08728,1.33766,0.99537,0.84917,0.36432,0.32288,7.267
2016,0.21348,1.45038,1.08383,0.80565,0.54355,0.32865,7.119
2016,0.14868,1.50796,1.04782,0.779,0.48163,0.41077,7.104
2016,0.10547,1.06879,1.02152,0.76146,0.55225,0.22553,7.087
2016,0.12275,1.35943,1.08113,0.77758,0.46823,0.22202,7.039
2016,0.28551,1.44787,1.09774,0.81487,0.53466,0.30452,6.994
2016,0.14166,1.08754,1.03938,0.61415,0.40425,0.15776,6.952
